ReviewID,CustomerID,ProductID,ReviewDate,Rating,ReviewText,compound,SentimentCategory
74,5,9,2023-03-17,5,"Excellent product, highly recommend!",0.7773,Positive
75,5,17,2025-08-30,4,The build quality is impressive.,0.5106,Positive
76,6,14,2025-10-10,5,Customer support  was very helpful.,0.6997,Positive
77,6,8,2024-12-02,5,Shipping was fast and the item was well-packaged.,0.0,Neutral
78,6,2,2023-09-23,5,"I love  this product, will buy again!",0.6696,Positive
79,6,13,2025-11-02,1,The product arrived late.,0.0,Neutral
80,6,10,2023-04-03,5,Shipping was fast and the item was well-packaged.,0.0,Neutral
81,6,9,2025-01-15,2,The product  stopped working after a month.,-0.2263,Negative
82,6,10,2024-03-22,5,The quality is top-notch.,0.0,Neutral
83,6,16,2024-07-25,4,Exceeded my expectations!,0.0,Neutral
84,6,1,2023-07-06,4,Five stars for the quick delivery.,0.0,Neutral
85,6,2,2025-03-17,4,"I love this product, will buy  again!",0.6696,Positive
86,6,5,2025-03-08,1,I had a bad experience with this  product.,-0.5423,Negative
87,6,20,2023-10-24,5,"Excellent product, highly recommend!",0.7773,Positive
88,6,17,2023-10-13,2,The product stopped working after a month.,-0.2263,Negative
89,6,1,2024-04-15,4,The quality is top-notch.,0.0,Neutral
90,6,4,2025-02-10,1,The product  stopped working after a month.,-0.2263,Negative
91,6,18,2024-05-15,5,The quality is top-notch.,0.0,Neutral
92,6,17,2023-07-08,4,"Good quality,  but could be cheaper.",0.2382,Positive
93,6,9,2024-04-25,1,"Average experience, nothing  special.",-0.3089,Negative
94,7,13,2023-06-07,4,"I love this product, will buy again!",0.6696,Positive
95,7,7,2023-06-08,5,"Great purchase, very satisfied.",0.8016,Positive
96,7,10,2023-10-01,5,The quality  is top-notch.,0.0,Neutral
97,7,7,2025-09-29,5,"Excellent product, highly recommend!",0.7773,Positive
98,7,15,2023-08-31,2,The product  stopped working after a month.,-0.2263,Negative
99,7,16,2023-02-05,5,Five stars for the quick delivery.,0.0,Neutral
100,7,15,2024-07-04,4,Exceeded my expectations!,0.0,Neutral
101,7,5,2025-12-09,4,"Great purchase, very satisfied.",0.8016,Positive
102,7,17,2024-07-26,2,Not worth the  money.,-0.1695,Negative
103,7,13,2023-02-20,5,The build quality is impressive.,0.5106,Positive
104,7,5,2025-05-02,4,"Great purchase, very satisfied.",0.8016,Positive
105,7,1,2024-10-26,1,The color was  different from what was shown.,0.0,Neutral
106,7,1,2024-08-16,5,Five stars for the quick delivery.,0.0,Neutral
107,7,19,2023-06-06,5,Customer support was very helpful.,0.6997,Positive
108,7,9,2023-07-28,4,"I love this product,  will buy again!",0.6696,Positive
109,8,17,2024-10-08,5,"Great purchase, very satisfied.",0.8016,Positive
110,8,13,2024-02-21,1,Product did not meet my expectations.,0.0,Neutral
111,8,14,2025-07-12,5,Shipping was fast and the item was well-packaged.,0.0,Neutral
112,8,18,2023-09-18,5,Customer support was  very helpful.,0.6997,Positive
113,8,9,2025-04-11,4,"Good quality, but could be cheaper.",0.2382,Positive
114,8,13,2023-09-03,4,Shipping was fast and the  item was well-packaged.,0.0,Neutral
115,8,18,2024-03-26,5,"Great purchase, very satisfied.",0.8016,Positive
116,8,18,2024-01-30,5,Shipping was fast and the item was well-packaged.,0.0,Neutral
117,8,11,2024-05-04,4,Amazing value for the price.,0.7351,Positive
118,8,14,2025-02-23,4,"Excellent product, highly recommend!",0.7773,Positive
119,8,11,2023-05-08,5,Amazing value for the  price.,0.7351,Positive
120,8,17,2024-03-18,5,Exceeded my expectations!,0.0,Neutral
121,8,15,2025-06-03,2,Product did not meet my  expectations.,0.0,Neutral
122,8,16,2025-09-30,5,Customer support was very helpful.,0.6997,Positive
123,9,8,2023-08-12,5,Shipping was fast and the item was well-packaged.,0.0,Neutral
124,9,4,2025-07-25,4,The quality is top-notch.,0.0,Neutral
125,9,8,2023-03-18,3,"Good quality, but could be cheaper.",0.2382,Mixed Positive
126,9,17,2025-06-14,1,Disappointed with the  performance.,-0.4767,Negative
127,9,17,2024-01-28,5,Exceeded my  expectations!,0.0,Neutral
128,9,15,2024-07-24,2,"Not satisfied, the product broke after a week.",-0.6288,Negative
129,9,8,2025-08-31,4,"Excellent product, highly  recommend!",0.7773,Positive
130,9,10,2023-04-24,5,The build  quality is impressive.,0.5106,Positive
131,9,14,2025-01-28,5,The quality is top-notch.,0.0,Neutral
132,9,12,2025-03-22,5,"I love this product, will  buy again!",0.6696,Positive
133,9,7,2024-09-30,1,"Average experience,  nothing special.",-0.3089,Negative
134,9,9,2024-08-27,5,Amazing value for the price.,0.7351,Positive
135,9,8,2025-09-20,5,The quality is  top-notch.,0.0,Neutral
136,9,2,2024-03-12,4,Amazing value for the price.,0.7351,Positive
137,9,2,2024-01-13,4,"Great purchase, very satisfied.",0.8016,Positive
138,10,11,2024-01-26,5,"Excellent product, highly  recommend!",0.7773,Positive
139,10,12,2024-11-10,4,Five stars  for the quick delivery.,0.0,Neutral
140,10,12,2025-05-10,2,Disappointed with the performance.,-0.4767,Negative
141,10,7,2025-02-17,5,"I love this product, will  buy again!",0.6696,Positive
142,10,7,2025-02-02,4,The build quality is  impressive.,0.5106,Positive
143,10,16,2023-03-04,4,"Good quality,  but could be cheaper.",0.2382,Positive
144,10,15,2023-05-09,1,Product did  not meet my expectations.,0.0,Neutral
145,10,20,2024-11-25,5,"Great purchase, very  satisfied.",0.8016,Positive
146,10,9,2024-09-01,4,Amazing value  for the price.,0.7351,Positive
147,10,4,2025-08-31,1,I had a bad experience with this product.,-0.5423,Negative
148,11,9,2025-05-30,1,"The product is okay, but the instructions were unclear.",-0.2617,Negative
149,11,6,2023-01-18,1,The product arrived late.,0.0,Neutral
150,11,5,2024-04-28,5,"Great purchase, very satisfied.",0.8016,Positive
151,11,20,2023-06-11,4,Customer support  was very helpful.,0.6997,Positive
152,11,2,2025-09-13,4,"Great purchase, very satisfied.",0.8016,Positive
153,11,4,2023-05-28,4,Five stars for the quick  delivery.,0.0,Neutral
154,11,15,2023-12-21,5,Customer support was very helpful.,0.6997,Positive
155,11,8,2023-09-06,1,The product arrived  late.,0.0,Neutral
156,11,12,2024-06-04,1,"Average experience, nothing special.",-0.3089,Negative
157,11,6,2024-05-17,5,"I love  this product, will buy again!",0.6696,Positive
158,11,13,2024-05-30,2,The product stopped working after a month.,-0.2263,Negative
159,11,4,2025-08-08,2,Disappointed with  the performance.,-0.4767,Negative
160,11,15,2025-02-04,4,"I love this  product, will buy again!",0.6696,Positive
161,11,20,2024-02-02,2,Not worth the money.,-0.1695,Negative
162,12,15,2024-06-16,1,"Not satisfied, the product broke after a week.",-0.6288,Negative
163,12,4,2024-12-17,5,"Great purchase,  very satisfied.",0.8016,Positive
164,12,9,2023-03-20,4,Exceeded my expectations!,0.0,Neutral
165,12,14,2025-01-31,4,"I love this product, will  buy again!",0.6696,Positive
166,12,18,2025-09-17,5,Five stars for the quick delivery.,0.0,Neutral
167,12,5,2025-12-29,5,Shipping was fast and the item was well-packaged.,0.0,Neutral
168,12,14,2024-08-03,2,"Good quality, but could  be cheaper.",0.2382,Mixed Positive
169,12,14,2025-05-02,4,"Great purchase, very satisfied.",0.8016,Positive
170,12,13,2024-02-22,2,The color was different from what was shown.,0.0,Neutral
171,12,14,2023-08-21,1,The color was different from what was shown.,0.0,Neutral
172,13,15,2023-11-29,5,The quality is  top-notch.,0.0,Neutral
173,13,3,2025-01-29,1,"The product is okay,  but the instructions were unclear.",-0.2617,Negative
174,13,6,2025-12-03,4,Five stars for the quick delivery.,0.0,Neutral
175,13,7,2024-09-09,5,The quality is  top-notch.,0.0,Neutral
176,13,3,2023-11-25,4,"Good quality, but could be cheaper.",0.2382,Positive
177,13,7,2025-08-26,4,Exceeded my expectations!,0.0,Neutral
178,13,17,2023-11-17,4,Five stars for  the quick delivery.,0.0,Neutral
179,13,2,2023-03-20,2,"Good quality, but could be cheaper.",0.2382,Mixed Positive
180,13,15,2024-09-19,3,"Good quality, but could be cheaper.",0.2382,Mixed Positive
181,13,12,2025-07-04,4,Shipping was fast and the  item was well-packaged.,0.0,Neutral
182,13,15,2024-04-26,5,Amazing value for the price.,0.7351,Positive
183,13,16,2025-03-30,5,Shipping was fast and the item was well-packaged.,0.0,Neutral
184,13,3,2025-06-24,4,The quality is top-notch.,0.0,Neutral
185,14,11,2025-11-13,5,"Excellent product, highly recommend!",0.7773,Positive
186,14,5,2023-02-22,1,"Terrible customer service, would not buy again.",-0.4767,Negative
187,14,4,2024-02-01,5,The build quality is impressive.,0.5106,Positive
188,14,6,2024-03-28,5,"Great purchase, very satisfied.",0.8016,Positive
189,14,6,2024-10-25,2,The product arrived late.,0.0,Neutral
190,14,15,2023-10-22,4,The build quality is impressive.,0.5106,Positive
191,14,20,2025-11-02,4,"Great purchase, very  satisfied.",0.8016,Positive
192,14,6,2024-07-23,1,The color was different  from what was shown.,0.0,Neutral
193,14,4,2025-12-22,5,"Great purchase, very satisfied.",0.8016,Positive
194,15,4,2024-05-31,2,"Not satisfied, the product broke after a week.",-0.6288,Negative
195,15,12,2024-06-26,5,"Great purchase, very  satisfied.",0.8016,Positive
196,15,3,2025-06-24,4,Amazing value for the  price.,0.7351,Positive
197,15,9,2024-09-27,2,"Good quality, but could be cheaper.",0.2382,Mixed Positive
198,15,8,2023-11-02,5,Customer support was very helpful.,0.6997,Positive
199,15,2,2023-09-28,4,Amazing value  for the price.,0.7351,Positive
200,15,19,2024-12-27,5,"Excellent product, highly recommend!",0.7773,Positive
201,15,14,2024-09-08,5,Exceeded my expectations!,0.0,Neutral
202,15,16,2023-11-21,4,Exceeded my expectations!,0.0,Neutral
203,15,3,2023-10-24,2,The product arrived late.,0.0,Neutral
204,15,9,2023-01-24,5,"Excellent product, highly recommend!",0.7773,Positive
205,15,19,2025-06-27,5,"Excellent product,  highly recommend!",0.7773,Positive
206,15,2,2023-05-07,4,Customer support  was very helpful.,0.6997,Positive
207,15,4,2023-01-26,4,Exceeded my expectations!,0.0,Neutral
208,15,17,2025-11-04,3,"Good quality, but could be cheaper.",0.2382,Mixed Positive
209,15,3,2024-09-06,2,"Good quality, but could be cheaper.",0.2382,Mixed Positive
210,15,14,2025-08-10,4,The build  quality is impressive.,0.5106,Positive
211,16,8,2023-03-21,4,"I love this product, will buy  again!",0.6696,Positive
212,16,14,2025-12-07,2,The product arrived late.,0.0,Neutral
213,16,7,2023-06-24,2,Product did not  meet my expectations.,0.0,Neutral
214,16,7,2023-11-23,1,Not worth the  money.,-0.1695,Negative
215,16,11,2024-05-04,5,"Excellent product, highly recommend!",0.7773,Positive
216,16,17,2023-01-14,1,The color was different from what was shown.,0.0,Neutral
217,16,8,2024-09-22,1,The color was different from what was shown.,0.0,Neutral
218,16,3,2023-12-18,4,The quality  is top-notch.,0.0,Neutral
219,16,12,2023-10-18,1,Product did  not meet my expectations.,0.0,Neutral
220,16,3,2023-04-06,5,Amazing value for the  price.,0.7351,Positive
221,16,3,2025-02-25,4,Exceeded my  expectations!,0.0,Neutral
222,16,3,2024-08-11,4,Shipping was fast and the item was well-packaged.,0.0,Neutral
223,17,7,2024-08-26,5,Customer support was  very helpful.,0.6997,Positive
224,17,10,2023-04-10,1,Not worth the money.,-0.1695,Negative
225,17,20,2025-10-28,5,"I love this product, will buy again!",0.6696,Positive
226,17,14,2023-03-05,5,Five stars for the quick delivery.,0.0,Neutral
227,17,2,2024-03-19,1,Disappointed with the performance.,-0.4767,Negative
228,17,10,2023-12-15,4,"Excellent product,  highly recommend!",0.7773,Positive
229,17,1,2024-12-13,4,The build quality is impressive.,0.5106,Positive
230,17,19,2024-12-12,2,The product stopped  working after a month.,-0.2263,Negative
231,17,10,2024-03-15,2,"Average experience, nothing special.",-0.3089,Negative
232,17,4,2023-06-15,4,"Excellent product, highly recommend!",0.7773,Positive
233,17,12,2023-07-14,4,Customer support was very helpful.,0.6997,Positive
234,17,1,2025-01-31,5,"I love this product, will buy again!",0.6696,Positive
235,17,17,2023-12-17,5,Exceeded my  expectations!,0.0,Neutral
236,17,12,2024-10-31,5,The build quality is impressive.,0.5106,Positive
237,17,6,2025-08-06,5,"I love this product,  will buy again!",0.6696,Positive
238,17,15,2024-05-02,5,"I love this product, will buy again!",0.6696,Positive
239,17,20,2023-11-13,1,"Average experience, nothing special.",-0.3089,Negative
240,17,20,2025-12-05,5,Exceeded my expectations!,0.0,Neutral
241,18,4,2023-12-04,2,Disappointed with  the performance.,-0.4767,Negative
242,18,5,2024-09-10,1,The color  was different from what was shown.,0.0,Neutral
243,18,4,2024-07-29,5,Customer support was  very helpful.,0.6997,Positive
244,18,14,2024-03-31,5,"I love this product,  will buy again!",0.6696,Positive
245,18,20,2025-04-08,5,Exceeded my expectations!,0.0,Neutral
246,18,19,2025-05-12,1,"Not satisfied, the product broke after a week.",-0.6288,Negative
247,18,19,2024-04-13,1,"Not satisfied, the product broke  after a week.",-0.6288,Negative
248,18,11,2024-06-16,4,"Good quality, but could be  cheaper.",0.2382,Positive
249,18,6,2024-05-27,1,I had a bad experience with this product.,-0.5423,Negative
250,18,20,2025-04-18,5,Shipping was fast and the item was well-packaged.,0.0,Neutral
251,18,13,2025-09-30,2,Disappointed with  the performance.,-0.4767,Negative
252,18,6,2024-02-14,5,Five stars for the quick delivery.,0.0,Neutral
253,19,16,2025-11-14,5,"Great purchase, very  satisfied.",0.8016,Positive
254,19,7,2024-01-12,5,Five stars for the quick delivery.,0.0,Neutral
255,19,2,2024-06-01,4,Customer support was  very helpful.,0.6997,Positive
256,19,14,2024-12-22,4,Five stars for the quick  delivery.,0.0,Neutral
257,19,17,2024-03-24,2,The color was different from what was shown.,0.0,Neutral
258,19,6,2023-09-22,2,Disappointed with the performance.,-0.4767,Negative
259,19,7,2025-08-18,3,"Good quality, but could be cheaper.",0.2382,Mixed Positive
260,19,14,2025-08-16,2,The product stopped working after a month.,-0.2263,Negative
261,19,16,2024-12-27,1,"Average experience, nothing  special.",-0.3089,Negative
262,19,9,2025-05-22,1,I had a bad experience with this  product.,-0.5423,Negative
263,19,9,2025-01-03,5,"I love this product, will buy again!",0.6696,Positive
264,20,20,2023-06-24,3,"Good quality, but could be cheaper.",0.2382,Mixed Positive
265,20,13,2023-04-27,5,Amazing value for the price.,0.7351,Positive
266,20,5,2025-12-22,1,"Not satisfied, the product broke after a week.",-0.6288,Negative
267,20,1,2024-03-05,2,"Not satisfied, the product broke after  a week.",-0.6288,Negative
268,20,4,2023-10-20,1,"The product is okay, but the instructions were unclear.",-0.2617,Negative
269,20,12,2023-11-09,5,Customer support was very  helpful.,0.6997,Positive
270,20,20,2023-07-05,3,"Good quality, but could be cheaper.",0.2382,Mixed Positive
271,20,7,2025-12-23,4,The build quality is impressive.,0.5106,Positive
272,20,9,2025-05-08,5,Shipping was fast and the item was well-packaged.,0.0,Neutral
273,20,2,2025-09-18,5,Shipping was fast  and the item was well-packaged.,0.0,Neutral
274,20,18,2023-01-14,5,"Great purchase, very satisfied.",0.8016,Positive
275,20,16,2024-08-30,1,Not worth the money.,-0.1695,Negative
276,20,3,2024-01-05,2,"Good quality, but could be cheaper.",0.2382,Mixed Positive
277,20,11,2023-07-12,4,The build quality is  impressive.,0.5106,Positive
278,21,5,2024-11-24,5,"Great purchase, very satisfied.",0.8016,Positive
279,21,17,2024-03-07,5,"Great purchase,  very satisfied.",0.8016,Positive
280,21,10,2024-08-22,5,The build quality  is impressive.,0.5106,Positive
281,21,17,2024-12-07,2,"Not satisfied, the product broke after a week.",-0.6288,Negative
282,21,4,2024-11-08,4,"I love this product, will buy again!",0.6696,Positive
283,21,3,2023-03-24,5,"Excellent product, highly recommend!",0.7773,Positive
284,21,2,2025-03-27,4,The quality is  top-notch.,0.0,Neutral
285,21,20,2023-05-04,1,The product stopped working after a month.,-0.2263,Negative
286,21,20,2023-10-29,3,"Good quality, but could be  cheaper.",0.2382,Mixed Positive
287,21,6,2023-07-27,4,"Good quality, but could be cheaper.",0.2382,Positive
288,21,1,2025-01-25,2,"The product is okay, but the instructions were unclear.",-0.2617,Negative
289,21,18,2024-06-12,2,"The product is okay, but the instructions were unclear.",-0.2617,Negative
290,21,11,2023-02-11,4,Amazing value for the price.,0.7351,Positive
291,21,17,2023-03-22,1,The color was different from what was shown.,0.0,Neutral
292,22,15,2023-05-18,5,Customer support was very helpful.,0.6997,Positive
293,22,5,2025-08-31,1,The product stopped working after  a month.,-0.2263,Negative
294,22,7,2023-11-07,2,"Good quality,  but could be cheaper.",0.2382,Mixed Positive
295,22,3,2024-03-22,2,"The product is okay, but the instructions were unclear.",-0.2617,Negative
296,22,9,2024-05-11,4,Shipping was fast and the item was well-packaged.,0.0,Neutral
297,22,5,2023-06-22,5,"Excellent product, highly recommend!",0.7773,Positive
298,22,9,2023-04-18,1,Product did  not meet my expectations.,0.0,Neutral
299,22,13,2024-09-29,4,Amazing value for the price.,0.7351,Positive
300,22,16,2023-05-03,5,Amazing value for the price.,0.7351,Positive
301,22,6,2023-10-24,2,Disappointed with the performance.,-0.4767,Negative
302,22,6,2025-05-05,5,The build quality is impressive.,0.5106,Positive
303,22,19,2024-11-14,5,The quality is top-notch.,0.0,Neutral
304,22,20,2024-11-11,2,Product did not meet my expectations.,0.0,Neutral
305,22,20,2024-09-24,5,Exceeded my expectations!,0.0,Neutral
306,23,20,2024-04-24,1,The product arrived late.,0.0,Neutral
307,23,11,2024-06-22,5,Shipping was fast and the item was well-packaged.,0.0,Neutral
308,23,2,2024-08-13,1,"Terrible customer service, would not buy  again.",-0.4767,Negative
309,23,16,2024-12-11,5,"Excellent product, highly recommend!",0.7773,Positive
310,23,13,2024-02-15,1,"Average experience,  nothing special.",-0.3089,Negative
311,23,13,2025-08-10,1,The product arrived late.,0.0,Neutral
312,23,1,2025-02-27,5,Five stars for the quick delivery.,0.0,Neutral
313,23,3,2024-04-21,5,"Excellent product, highly recommend!",0.7773,Positive
314,23,17,2024-10-19,4,Amazing value  for the price.,0.7351,Positive
315,23,3,2024-01-06,1,The product arrived late.,0.0,Neutral
316,23,19,2025-01-05,4,"Excellent product, highly  recommend!",0.7773,Positive
317,23,12,2023-08-06,4,The build quality is  impressive.,0.5106,Positive
318,23,1,2024-12-07,4,Amazing value  for the price.,0.7351,Positive
319,23,19,2025-09-22,5,Exceeded my expectations!,0.0,Neutral
320,24,14,2023-07-18,2,"Terrible customer service, would not buy again.",-0.4767,Negative
321,24,5,2024-06-04,1,Not worth  the money.,-0.1695,Negative
322,24,13,2023-06-21,5,The quality is top-notch.,0.0,Neutral
323,24,15,2025-09-24,2,Disappointed with the performance.,-0.4767,Negative
324,24,13,2023-09-03,1,Disappointed with  the performance.,-0.4767,Negative
325,24,3,2025-11-03,4,The build quality is impressive.,0.5106,Positive
326,24,8,2024-03-30,5,"I love this product, will buy  again!",0.6696,Positive
327,24,1,2023-04-07,5,"Excellent product,  highly recommend!",0.7773,Positive
328,24,11,2023-01-12,2,"Not satisfied, the product broke after a week.",-0.6288,Negative
329,24,19,2025-06-22,1,Disappointed with the performance.,-0.4767,Negative
330,24,12,2024-06-10,5,"Great purchase, very satisfied.",0.8016,Positive
331,24,15,2024-05-03,1,"Not satisfied, the product broke after a week.",-0.6288,Negative
332,25,7,2023-03-15,4,Exceeded my expectations!,0.0,Neutral
333,25,12,2023-10-14,1,Disappointed with the performance.,-0.4767,Negative
334,25,13,2023-02-14,3,"Good quality, but  could be cheaper.",0.2382,Mixed Positive
335,25,16,2023-08-25,3,"Good quality,  but could be cheaper.",0.2382,Mixed Positive
336,25,6,2025-07-13,5,Shipping was fast and the item was well-packaged.,0.0,Neutral
337,25,9,2025-05-06,4,Shipping was fast and  the item was well-packaged.,0.0,Neutral
338,25,11,2023-12-10,5,Five stars for the quick delivery.,0.0,Neutral
339,25,16,2023-08-22,4,"Excellent product, highly recommend!",0.7773,Positive
340,25,7,2025-09-04,1,Disappointed with  the performance.,-0.4767,Negative
341,25,12,2025-06-03,2,"Average experience, nothing special.",-0.3089,Negative
342,25,4,2025-03-10,4,Shipping was fast and the item was well-packaged.,0.0,Neutral
343,25,10,2023-10-23,2,Product did not meet my expectations.,0.0,Neutral
344,25,17,2024-11-29,4,The build quality is impressive.,0.5106,Positive
345,25,17,2024-08-09,4,Customer support was very helpful.,0.6997,Positive
346,25,7,2024-07-20,4,Shipping was fast and the item was well-packaged.,0.0,Neutral
347,26,6,2024-02-07,5,Five stars for the quick delivery.,0.0,Neutral
348,26,9,2023-12-26,4,Amazing value for the price.,0.7351,Positive
349,26,7,2023-01-21,5,"Excellent product, highly recommend!",0.7773,Positive
350,26,2,2025-11-27,1,Not worth the  money.,-0.1695,Negative
351,26,3,2023-02-01,4,The build quality is impressive.,0.5106,Positive
352,26,9,2024-05-23,4,"Great purchase, very  satisfied.",0.8016,Positive
353,26,19,2023-01-10,5,The build quality  is impressive.,0.5106,Positive
354,26,8,2024-10-19,1,The color was different from what was shown.,0.0,Neutral
355,26,2,2024-08-20,2,I had a bad experience with this product.,-0.5423,Negative
356,26,1,2025-12-22,1,"The product  is okay, but the instructions were unclear.",-0.2617,Negative
357,26,8,2024-01-09,5,"I love this product, will buy again!",0.6696,Positive
358,27,1,2023-07-17,2,"Average experience, nothing  special.",-0.3089,Negative
359,27,17,2024-05-03,1,Disappointed with the performance.,-0.4767,Negative
360,27,4,2024-01-02,5,Five stars for the quick delivery.,0.0,Neutral
361,27,17,2024-07-26,5,Five stars for the quick delivery.,0.0,Neutral
362,27,18,2024-04-10,2,"The product is okay, but the instructions were unclear.",-0.2617,Negative
363,27,15,2025-03-23,5,The quality is top-notch.,0.0,Neutral
364,27,20,2025-12-12,5,The quality  is top-notch.,0.0,Neutral
365,27,11,2025-06-11,1,"Terrible customer service, would not buy again.",-0.4767,Negative
366,28,13,2023-04-20,5,Shipping was fast and the  item was well-packaged.,0.0,Neutral
367,28,1,2025-01-16,4,Shipping was fast  and the item was well-packaged.,0.0,Neutral
368,28,17,2023-02-12,5,Customer support was very helpful.,0.6997,Positive
369,28,15,2023-04-06,1,Product did not meet  my expectations.,0.0,Neutral
370,28,20,2024-07-13,2,"Good quality,  but could be cheaper.",0.2382,Mixed Positive
371,28,14,2024-04-29,2,The product arrived  late.,0.0,Neutral
