JourneyID,CustomerID,ProductID,VisitDate,Stage,Action,Duration
66,1,15,07/08/2024,HOMEPAGE,VIEW,294
83,1,15,11/09/2024,CHECKOUT,DROP-OFF,NULL
81,1,15,11/09/2024,HOMEPAGE,VIEW,280
82,1,15,11/09/2024,PRODUCTPAGE,VIEW,63
69,1,16,14/11/2023,CHECKOUT,PURCHASE,254
67,1,16,14/11/2023,HOMEPAGE,VIEW,161
68,1,16,14/11/2023,PRODUCTPAGE,VIEW,287
70,1,17,23/12/2025,HOMEPAGE,VIEW,39
31,1,18,24/01/2023,HOMEPAGE,VIEW,68
42,1,18,15/09/2023,HOMEPAGE,VIEW,253
46,1,18,16/02/2024,CHECKOUT,DROP-OFF,NULL
44,1,18,16/02/2024,HOMEPAGE,VIEW,169
45,1,18,16/02/2024,PRODUCTPAGE,VIEW,234
19,1,18,16/05/2024,CHECKOUT,DROP-OFF,NULL
17,1,18,16/05/2024,HOMEPAGE,VIEW,246
18,1,18,16/05/2024,PRODUCTPAGE,VIEW,122
34,1,18,30/06/2024,CHECKOUT,DROP-OFF,NULL
32,1,18,30/06/2024,HOMEPAGE,VIEW,184
33,1,18,30/06/2024,PRODUCTPAGE,VIEW,11
5,1,18,09/05/2025,HOMEPAGE,VIEW,239
28,1,19,27/05/2025,CHECKOUT,DROP-OFF,NULL
26,1,19,27/05/2025,HOMEPAGE,VIEW,214
27,1,19,27/05/2025,PRODUCTPAGE,VIEW,56
9,1,20,25/06/2024,HOMEPAGE,VIEW,245
11,1,20,10/01/2025,HOMEPAGE,VIEW,108
161,2,2,05/03/2023,HOMEPAGE,VIEW,112
160,2,2,17/12/2024,HOMEPAGE,VIEW,45
158,2,6,13/04/2023,CHECKOUT,DROP-OFF,NULL
156,2,6,13/04/2023,HOMEPAGE,VIEW,204
157,2,6,13/04/2023,PRODUCTPAGE,VIEW,204
166,2,6,29/09/2024,HOMEPAGE,VIEW,23
155,2,6,15/08/2025,CHECKOUT,PURCHASE,246
153,2,6,15/08/2025,HOMEPAGE,VIEW,283
154,2,6,15/08/2025,PRODUCTPAGE,VIEW,23
127,2,8,12/02/2024,CHECKOUT,DROP-OFF,NULL
125,2,8,12/02/2024,HOMEPAGE,VIEW,22
126,2,8,12/02/2024,PRODUCTPAGE,VIEW,47
159,2,9,17/06/2023,HOMEPAGE,VIEW,19
102,2,9,23/11/2023,CHECKOUT,DROP-OFF,NULL
100,2,9,23/11/2023,HOMEPAGE,VIEW,65
101,2,9,23/11/2023,PRODUCTPAGE,CLICK,123
117,2,10,04/11/2025,CHECKOUT,DROP-OFF,NULL
115,2,10,04/11/2025,HOMEPAGE,VIEW,219
116,2,10,04/11/2025,PRODUCTPAGE,VIEW,75
165,2,12,10/12/2023,HOMEPAGE,VIEW,68
105,2,12,17/09/2024,CHECKOUT,DROP-OFF,NULL
103,2,12,17/09/2024,HOMEPAGE,VIEW,124
104,2,12,17/09/2024,PRODUCTPAGE,VIEW,152
111,2,12,04/10/2024,CHECKOUT,DROP-OFF,NULL
109,2,12,04/10/2024,HOMEPAGE,VIEW,271
110,2,12,04/10/2024,PRODUCTPAGE,VIEW,32
108,2,12,09/11/2025,CHECKOUT,PURCHASE,232
106,2,12,09/11/2025,HOMEPAGE,VIEW,284
107,2,12,09/11/2025,PRODUCTPAGE,VIEW,143
120,2,13,23/12/2023,CHECKOUT,DROP-OFF,NULL
118,2,13,23/12/2023,HOMEPAGE,VIEW,164
119,2,13,23/12/2023,PRODUCTPAGE,VIEW,117
149,2,13,03/09/2025,CHECKOUT,DROP-OFF,NULL
147,2,13,03/09/2025,HOMEPAGE,VIEW,190
148,2,13,03/09/2025,PRODUCTPAGE,CLICK,224
146,2,14,08/05/2023,CHECKOUT,DROP-OFF,NULL
144,2,14,08/05/2023,HOMEPAGE,VIEW,225
145,2,14,08/05/2023,PRODUCTPAGE,CLICK,20
133,2,14,24/03/2024,CHECKOUT,DROP-OFF,NULL
131,2,14,24/03/2024,HOMEPAGE,VIEW,275
132,2,14,24/03/2024,PRODUCTPAGE,VIEW,72
173,2,14,11/01/2025,HOMEPAGE,VIEW,245
137,2,15,14/06/2024,HOMEPAGE,VIEW,151
114,2,17,08/02/2024,CHECKOUT,DROP-OFF,NULL
112,2,17,08/02/2024,HOMEPAGE,VIEW,230
113,2,17,08/02/2024,PRODUCTPAGE,CLICK,170
136,2,17,11/10/2024,CHECKOUT,DROP-OFF,NULL
134,2,17,11/10/2024,HOMEPAGE,VIEW,268
135,2,17,11/10/2024,PRODUCTPAGE,VIEW,91
124,2,17,17/11/2024,HOMEPAGE,VIEW,130
140,2,17,19/09/2025,CHECKOUT,DROP-OFF,NULL
138,2,17,19/09/2025,HOMEPAGE,VIEW,132
139,2,17,19/09/2025,PRODUCTPAGE,VIEW,130
143,2,18,15/06/2023,CHECKOUT,PURCHASE,248
141,2,18,15/06/2023,HOMEPAGE,VIEW,87
142,2,18,15/06/2023,PRODUCTPAGE,VIEW,119
152,2,18,27/03/2024,CHECKOUT,DROP-OFF,NULL
150,2,18,27/03/2024,HOMEPAGE,VIEW,122
151,2,18,27/03/2024,PRODUCTPAGE,VIEW,182
172,2,19,26/03/2023,CHECKOUT,PURCHASE,64
170,2,19,26/03/2023,HOMEPAGE,VIEW,282
171,2,19,26/03/2023,PRODUCTPAGE,VIEW,184
130,2,19,03/02/2024,CHECKOUT,DROP-OFF,NULL
128,2,19,03/02/2024,HOMEPAGE,VIEW,206
129,2,19,03/02/2024,PRODUCTPAGE,VIEW,12
169,2,19,07/02/2025,CHECKOUT,PURCHASE,71
167,2,19,07/02/2025,HOMEPAGE,VIEW,111
168,2,19,07/02/2025,PRODUCTPAGE,CLICK,134
164,2,20,09/11/2023,CHECKOUT,DROP-OFF,NULL
162,2,20,09/11/2023,HOMEPAGE,VIEW,74
163,2,20,09/11/2023,PRODUCTPAGE,VIEW,121
123,2,20,21/10/2024,CHECKOUT,DROP-OFF,NULL
121,2,20,21/10/2024,HOMEPAGE,VIEW,236
122,2,20,21/10/2024,PRODUCTPAGE,VIEW,96
212,3,1,16/04/2025,CHECKOUT,DROP-OFF,NULL
210,3,1,16/04/2025,HOMEPAGE,VIEW,250
211,3,1,16/04/2025,PRODUCTPAGE,VIEW,154
209,3,2,23/07/2023,CHECKOUT,DROP-OFF,NULL
207,3,2,23/07/2023,HOMEPAGE,VIEW,118
208,3,2,23/07/2023,PRODUCTPAGE,VIEW,98
216,3,3,03/05/2023,HOMEPAGE,VIEW,167
215,3,3,23/04/2024,CHECKOUT,DROP-OFF,NULL
213,3,3,23/04/2024,HOMEPAGE,VIEW,111
214,3,3,23/04/2024,PRODUCTPAGE,VIEW,86
203,3,3,23/05/2024,HOMEPAGE,VIEW,295
247,3,3,19/07/2024,HOMEPAGE,VIEW,184
177,3,3,25/07/2024,HOMEPAGE,VIEW,134
202,3,4,14/05/2023,CHECKOUT,DROP-OFF,NULL
200,3,4,14/05/2023,HOMEPAGE,VIEW,261
201,3,4,14/05/2023,PRODUCTPAGE,VIEW,87
174,3,6,04/12/2025,HOMEPAGE,VIEW,148
236,3,7,30/06/2024,HOMEPAGE,VIEW,77
195,3,7,29/08/2024,CHECKOUT,DROP-OFF,NULL
193,3,7,29/08/2024,HOMEPAGE,VIEW,194
194,3,7,29/08/2024,PRODUCTPAGE,VIEW,74
224,3,9,24/03/2023,HOMEPAGE,VIEW,250
192,3,9,10/12/2025,HOMEPAGE,VIEW,154
223,3,11,27/05/2024,CHECKOUT,DROP-OFF,NULL
221,3,11,27/05/2024,HOMEPAGE,VIEW,56
222,3,11,27/05/2024,PRODUCTPAGE,CLICK,20
181,3,11,26/07/2024,HOMEPAGE,VIEW,151
252,3,12,11/11/2024,CHECKOUT,DROP-OFF,NULL
250,3,12,11/11/2024,HOMEPAGE,VIEW,288
251,3,12,11/11/2024,PRODUCTPAGE,CLICK,132
253,3,14,31/03/2023,HOMEPAGE,VIEW,252
220,3,15,14/06/2023,HOMEPAGE,VIEW,30
243,3,15,29/08/2023,CHECKOUT,DROP-OFF,NULL
241,3,15,29/08/2023,HOMEPAGE,VIEW,88
242,3,15,29/08/2023,PRODUCTPAGE,VIEW,149
225,3,15,23/07/2024,HOMEPAGE,VIEW,233
237,3,15,19/09/2025,HOMEPAGE,VIEW,24
228,3,16,06/07/2023,CHECKOUT,DROP-OFF,NULL
226,3,16,06/07/2023,HOMEPAGE,VIEW,188
227,3,16,06/07/2023,PRODUCTPAGE,VIEW,92
199,3,16,30/07/2023,CHECKOUT,DROP-OFF,NULL
197,3,16,30/07/2023,HOMEPAGE,VIEW,155
198,3,16,30/07/2023,PRODUCTPAGE,VIEW,36
183,3,16,07/05/2024,HOMEPAGE,VIEW,253
246,3,16,14/05/2024,CHECKOUT,DROP-OFF,NULL
244,3,16,14/05/2024,HOMEPAGE,VIEW,292
245,3,16,14/05/2024,PRODUCTPAGE,CLICK,270
229,3,16,13/08/2024,HOMEPAGE,VIEW,215
186,3,16,06/07/2025,CHECKOUT,DROP-OFF,NULL
184,3,16,06/07/2025,HOMEPAGE,VIEW,57
185,3,16,06/07/2025,PRODUCTPAGE,VIEW,166
187,3,16,23/12/2025,HOMEPAGE,VIEW,227
182,3,17,27/01/2024,HOMEPAGE,VIEW,133
248,3,17,01/07/2024,HOMEPAGE,VIEW,154
232,3,18,17/03/2023,CHECKOUT,DROP-OFF,NULL
230,3,18,17/03/2023,HOMEPAGE,VIEW,55
231,3,18,17/03/2023,PRODUCTPAGE,VIEW,216
191,3,18,15/01/2024,HOMEPAGE,VIEW,120
196,3,18,21/08/2024,HOMEPAGE,VIEW,74
190,3,18,08/11/2024,CHECKOUT,DROP-OFF,NULL
188,3,18,08/11/2024,HOMEPAGE,VIEW,242
189,3,18,08/11/2024,PRODUCTPAGE,VIEW,108
235,3,18,04/08/2025,CHECKOUT,DROP-OFF,NULL
233,3,18,04/08/2025,HOMEPAGE,VIEW,37
234,3,18,04/08/2025,PRODUCTPAGE,VIEW,265
175,3,18,17/09/2025,HOMEPAGE,VIEW,233
176,3,19,03/07/2024,HOMEPAGE,VIEW,135
219,3,19,14/08/2024,CHECKOUT,DROP-OFF,NULL
217,3,19,14/08/2024,HOMEPAGE,VIEW,73
218,3,19,14/08/2024,PRODUCTPAGE,VIEW,149
180,3,19,15/02/2025,CHECKOUT,DROP-OFF,NULL
178,3,19,15/02/2025,HOMEPAGE,VIEW,24
179,3,19,15/02/2025,PRODUCTPAGE,VIEW,118
249,3,19,29/09/2025,HOMEPAGE,VIEW,238
206,3,20,07/04/2024,CHECKOUT,DROP-OFF,NULL
204,3,20,07/04/2024,HOMEPAGE,VIEW,204
205,3,20,07/04/2024,PRODUCTPAGE,VIEW,229
240,3,20,05/05/2024,CHECKOUT,DROP-OFF,NULL
238,3,20,05/05/2024,HOMEPAGE,VIEW,91
239,3,20,05/05/2024,PRODUCTPAGE,VIEW,57
267,4,1,05/04/2023,CHECKOUT,DROP-OFF,NULL
265,4,1,05/04/2023,HOMEPAGE,VIEW,38
266,4,1,05/04/2023,PRODUCTPAGE,VIEW,135
312,4,1,27/09/2023,HOMEPAGE,VIEW,193
282,4,2,24/09/2024,HOMEPAGE,VIEW,27
307,4,2,14/11/2024,HOMEPAGE,VIEW,74
264,4,4,25/07/2023,HOMEPAGE,VIEW,95
275,4,4,30/04/2024,HOMEPAGE,VIEW,193
300,4,4,29/09/2025,HOMEPAGE,VIEW,218
257,4,4,13/12/2025,HOMEPAGE,VIEW,17
283,4,5,04/07/2023,HOMEPAGE,VIEW,177
298,4,5,06/03/2025,HOMEPAGE,VIEW,199
268,4,6,15/12/2023,HOMEPAGE,VIEW,50
284,4,6,16/02/2024,HOMEPAGE,VIEW,286
308,4,7,21/05/2023,HOMEPAGE,VIEW,116
294,4,8,10/05/2023,HOMEPAGE,VIEW,247
315,4,8,25/10/2024,CHECKOUT,PURCHASE,195
313,4,8,25/10/2024,HOMEPAGE,VIEW,99
314,4,8,25/10/2024,PRODUCTPAGE,VIEW,279
309,4,8,03/11/2024,HOMEPAGE,VIEW,11
310,4,8,03/11/2024,PRODUCTPAGE,DROP-OFF,NULL
301,4,9,09/03/2023,HOMEPAGE,VIEW,199
302,4,9,09/03/2023,PRODUCTPAGE,DROP-OFF,NULL
259,4,9,24/11/2024,HOMEPAGE,VIEW,213
293,4,9,19/02/2025,CHECKOUT,DROP-OFF,NULL
291,4,9,19/02/2025,HOMEPAGE,VIEW,200
292,4,9,19/02/2025,PRODUCTPAGE,VIEW,297
286,4,9,13/09/2025,HOMEPAGE,VIEW,183
278,4,10,14/02/2023,CHECKOUT,DROP-OFF,NULL
276,4,10,14/02/2023,HOMEPAGE,VIEW,212
277,4,10,14/02/2023,PRODUCTPAGE,CLICK,35
272,4,10,20/11/2023,HOMEPAGE,VIEW,236
297,4,10,16/04/2025,CHECKOUT,DROP-OFF,NULL
295,4,10,16/04/2025,HOMEPAGE,VIEW,81
296,4,10,16/04/2025,PRODUCTPAGE,VIEW,262
260,4,11,28/12/2025,HOMEPAGE,VIEW,172
306,4,12,05/05/2023,CHECKOUT,PURCHASE,20
304,4,12,05/05/2023,HOMEPAGE,VIEW,151
305,4,12,05/05/2023,PRODUCTPAGE,CLICK,242
303,4,12,23/07/2023,HOMEPAGE,VIEW,198
285,4,12,23/12/2025,HOMEPAGE,VIEW,149
256,4,13,08/11/2023,CHECKOUT,DROP-OFF,NULL
254,4,13,08/11/2023,HOMEPAGE,VIEW,28
255,4,13,08/11/2023,PRODUCTPAGE,VIEW,61
271,4,13,08/05/2024,CHECKOUT,DROP-OFF,NULL
269,4,13,08/05/2024,HOMEPAGE,VIEW,83
270,4,13,08/05/2024,PRODUCTPAGE,VIEW,140
290,4,13,19/01/2025,CHECKOUT,DROP-OFF,NULL
288,4,13,19/01/2025,HOMEPAGE,VIEW,212
289,4,13,19/01/2025,PRODUCTPAGE,VIEW,198
258,4,14,13/11/2023,HOMEPAGE,VIEW,250
287,4,15,04/06/2023,HOMEPAGE,VIEW,125
274,4,15,10/09/2024,HOMEPAGE,VIEW,206
263,4,16,15/03/2023,CHECKOUT,DROP-OFF,NULL
261,4,16,15/03/2023,HOMEPAGE,VIEW,45
262,4,16,15/03/2023,PRODUCTPAGE,CLICK,126
281,4,16,09/08/2024,CHECKOUT,DROP-OFF,NULL
279,4,16,09/08/2024,HOMEPAGE,VIEW,190
280,4,16,09/08/2024,PRODUCTPAGE,VIEW,80
318,4,17,12/08/2023,CHECKOUT,DROP-OFF,NULL
316,4,17,12/08/2023,HOMEPAGE,VIEW,267
317,4,17,12/08/2023,PRODUCTPAGE,VIEW,276
311,4,18,28/05/2024,HOMEPAGE,VIEW,66
299,4,18,08/05/2025,HOMEPAGE,VIEW,89
273,4,19,04/09/2024,HOMEPAGE,VIEW,227
343,5,1,07/01/2024,HOMEPAGE,VIEW,299
336,5,2,12/08/2024,CHECKOUT,DROP-OFF,NULL
334,5,2,12/08/2024,HOMEPAGE,VIEW,169
335,5,2,12/08/2024,PRODUCTPAGE,VIEW,89
319,5,2,07/09/2025,HOMEPAGE,VIEW,228
346,5,3,18/10/2023,CHECKOUT,DROP-OFF,NULL
344,5,3,18/10/2023,HOMEPAGE,VIEW,25
345,5,3,18/10/2023,PRODUCTPAGE,VIEW,224
331,5,3,03/06/2025,HOMEPAGE,VIEW,200
339,5,4,18/12/2024,CHECKOUT,DROP-OFF,NULL
337,5,4,18/12/2024,HOMEPAGE,VIEW,198
338,5,4,18/12/2024,PRODUCTPAGE,VIEW,229
333,5,4,21/04/2025,HOMEPAGE,VIEW,226
330,5,5,29/08/2025,HOMEPAGE,VIEW,56
347,5,12,30/09/2024,HOMEPAGE,VIEW,176
329,5,14,25/11/2024,CHECKOUT,DROP-OFF,NULL
327,5,14,25/11/2024,HOMEPAGE,VIEW,214
328,5,14,25/11/2024,PRODUCTPAGE,VIEW,170
322,5,16,27/06/2025,CHECKOUT,DROP-OFF,NULL
320,5,16,27/06/2025,HOMEPAGE,VIEW,51
321,5,16,27/06/2025,PRODUCTPAGE,VIEW,150
332,5,18,03/05/2023,HOMEPAGE,VIEW,297
326,5,18,16/03/2024,HOMEPAGE,VIEW,241
325,5,18,27/10/2024,CHECKOUT,DROP-OFF,NULL
323,5,18,27/10/2024,HOMEPAGE,VIEW,281
324,5,18,27/10/2024,PRODUCTPAGE,VIEW,60
350,5,19,23/06/2023,CHECKOUT,DROP-OFF,NULL
348,5,19,23/06/2023,HOMEPAGE,VIEW,89
349,5,19,23/06/2023,PRODUCTPAGE,VIEW,51
342,5,20,23/02/2023,CHECKOUT,DROP-OFF,NULL
340,5,20,23/02/2023,HOMEPAGE,VIEW,146
341,5,20,23/02/2023,PRODUCTPAGE,VIEW,168
426,6,1,08/06/2024,HOMEPAGE,VIEW,86
402,6,1,12/01/2025,HOMEPAGE,VIEW,102
420,6,1,29/04/2025,HOMEPAGE,VIEW,212
424,6,2,10/08/2024,HOMEPAGE,VIEW,81
383,6,2,21/12/2024,CHECKOUT,DROP-OFF,NULL
381,6,2,21/12/2024,HOMEPAGE,VIEW,47
382,6,2,21/12/2024,PRODUCTPAGE,VIEW,198
361,6,2,12/06/2025,HOMEPAGE,VIEW,245
387,6,2,10/07/2025,CHECKOUT,DROP-OFF,NULL
385,6,2,10/07/2025,HOMEPAGE,VIEW,106
386,6,2,10/07/2025,PRODUCTPAGE,VIEW,41
377,6,3,29/12/2023,CHECKOUT,DROP-OFF,NULL
375,6,3,29/12/2023,HOMEPAGE,VIEW,262
376,6,3,29/12/2023,PRODUCTPAGE,VIEW,239
368,6,3,13/06/2025,CHECKOUT,DROP-OFF,NULL
366,6,3,13/06/2025,HOMEPAGE,VIEW,134
367,6,3,13/06/2025,PRODUCTPAGE,VIEW,212
390,6,3,30/10/2025,CHECKOUT,DROP-OFF,NULL
388,6,3,30/10/2025,HOMEPAGE,VIEW,98
389,6,3,30/10/2025,PRODUCTPAGE,VIEW,234
384,6,3,04/11/2025,HOMEPAGE,VIEW,246
434,6,3,08/12/2025,HOMEPAGE,VIEW,44
404,6,5,08/06/2023,HOMEPAGE,VIEW,61
359,6,5,07/06/2024,CHECKOUT,PURCHASE,266
357,6,5,07/06/2024,HOMEPAGE,VIEW,177
358,6,5,07/06/2024,PRODUCTPAGE,VIEW,99
393,6,6,15/01/2025,CHECKOUT,DROP-OFF,NULL
391,6,6,15/01/2025,HOMEPAGE,VIEW,154
392,6,6,15/01/2025,PRODUCTPAGE,VIEW,36
430,6,8,08/09/2024,CHECKOUT,PURCHASE,18
428,6,8,08/09/2024,HOMEPAGE,VIEW,34
429,6,8,08/09/2024,PRODUCTPAGE,VIEW,244
423,6,8,01/03/2025,CHECKOUT,DROP-OFF,NULL
421,6,8,01/03/2025,HOMEPAGE,VIEW,201
422,6,8,01/03/2025,PRODUCTPAGE,CLICK,181
419,6,10,21/06/2023,CHECKOUT,PURCHASE,188
417,6,10,21/06/2023,HOMEPAGE,VIEW,149
418,6,10,21/06/2023,PRODUCTPAGE,VIEW,233
394,6,11,15/05/2023,HOMEPAGE,VIEW,58
371,6,11,29/03/2024,CHECKOUT,DROP-OFF,NULL
369,6,11,29/03/2024,HOMEPAGE,VIEW,96
370,6,11,29/03/2024,PRODUCTPAGE,VIEW,271
362,6,11,29/05/2025,HOMEPAGE,VIEW,217
403,6,11,22/09/2025,HOMEPAGE,VIEW,125
416,6,12,30/07/2023,HOMEPAGE,VIEW,274
374,6,12,30/10/2023,CHECKOUT,DROP-OFF,NULL
372,6,12,30/10/2023,HOMEPAGE,VIEW,62
373,6,12,30/10/2023,PRODUCTPAGE,VIEW,88
413,6,12,21/06/2025,HOMEPAGE,VIEW,154
400,6,13,22/09/2023,CHECKOUT,DROP-OFF,NULL
398,6,13,22/09/2023,HOMEPAGE,VIEW,53
399,6,13,22/09/2023,PRODUCTPAGE,VIEW,178
397,6,13,04/08/2024,CHECKOUT,DROP-OFF,NULL
395,6,13,04/08/2024,HOMEPAGE,VIEW,86
396,6,13,04/08/2024,PRODUCTPAGE,VIEW,189
365,6,14,15/08/2024,CHECKOUT,DROP-OFF,NULL
363,6,14,15/08/2024,HOMEPAGE,VIEW,217
364,6,14,15/08/2024,PRODUCTPAGE,VIEW,245
409,6,14,16/01/2025,HOMEPAGE,VIEW,131
353,6,16,24/06/2025,CHECKOUT,PURCHASE,259
351,6,16,24/06/2025,HOMEPAGE,VIEW,149
352,6,16,24/06/2025,PRODUCTPAGE,VIEW,230
425,6,16,07/07/2025,HOMEPAGE,VIEW,12
401,6,17,11/07/2023,HOMEPAGE,VIEW,226
433,6,17,10/05/2024,CHECKOUT,DROP-OFF,NULL
431,6,17,10/05/2024,HOMEPAGE,VIEW,83
432,6,17,10/05/2024,PRODUCTPAGE,VIEW,133
356,6,17,23/09/2024,CHECKOUT,DROP-OFF,NULL
354,6,17,23/09/2024,HOMEPAGE,VIEW,122
355,6,17,23/09/2024,PRODUCTPAGE,VIEW,114
414,6,17,16/12/2025,HOMEPAGE,VIEW,92
360,6,18,26/12/2024,HOMEPAGE,VIEW,213
405,6,18,14/12/2025,HOMEPAGE,VIEW,182
408,6,20,26/09/2023,CHECKOUT,DROP-OFF,NULL
406,6,20,26/09/2023,HOMEPAGE,VIEW,202
407,6,20,26/09/2023,PRODUCTPAGE,CLICK,94
415,6,20,11/10/2023,HOMEPAGE,VIEW,36
412,6,20,06/08/2024,CHECKOUT,DROP-OFF,NULL
410,6,20,06/08/2024,HOMEPAGE,VIEW,239
411,6,20,06/08/2024,PRODUCTPAGE,VIEW,250
380,6,20,23/10/2024,CHECKOUT,DROP-OFF,NULL
378,6,20,23/10/2024,HOMEPAGE,VIEW,171
379,6,20,23/10/2024,PRODUCTPAGE,VIEW,165
427,6,20,16/12/2025,HOMEPAGE,VIEW,66
440,7,1,01/01/2025,CHECKOUT,PURCHASE,99
438,7,1,01/01/2025,HOMEPAGE,VIEW,186
439,7,1,01/01/2025,PRODUCTPAGE,VIEW,180
529,7,1,29/08/2025,HOMEPAGE,VIEW,126
485,7,2,12/09/2023,CHECKOUT,DROP-OFF,NULL
483,7,2,12/09/2023,HOMEPAGE,VIEW,88
484,7,2,12/09/2023,PRODUCTPAGE,VIEW,125
463,7,2,11/11/2023,HOMEPAGE,VIEW,240
498,7,2,20/11/2023,CHECKOUT,DROP-OFF,NULL
496,7,2,20/11/2023,HOMEPAGE,VIEW,222
497,7,2,20/11/2023,PRODUCTPAGE,VIEW,83
477,7,3,15/05/2023,HOMEPAGE,VIEW,213
481,7,3,14/09/2023,CHECKOUT,DROP-OFF,NULL
479,7,3,14/09/2023,HOMEPAGE,VIEW,47
480,7,3,14/09/2023,PRODUCTPAGE,VIEW,75
459,7,3,11/04/2025,HOMEPAGE,VIEW,272
444,7,3,26/07/2025,CHECKOUT,DROP-OFF,NULL
442,7,3,26/07/2025,HOMEPAGE,VIEW,160
443,7,3,26/07/2025,PRODUCTPAGE,CLICK,171
488,7,3,26/10/2025,HOMEPAGE,VIEW,96
462,7,6,05/03/2023,CHECKOUT,DROP-OFF,NULL
460,7,6,05/03/2023,HOMEPAGE,VIEW,234
461,7,6,05/03/2023,PRODUCTPAGE,VIEW,197
458,7,6,28/06/2025,CHECKOUT,DROP-OFF,NULL
